nome,email,telefono,indirizzo,cap,comune,provincia,lat,lng,maps_url
Agenzia Argo - Studio di consulenza automobilistica,argo.pratiche@gmail.com,035 898963,"Via Crema 13, 24055 Cologno al Serio (BG)",24055,Cologno al Serio,BG,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Argo%20-%20Studio%20di%20consulenza%20automobilistica%20Via%20Crema%2013%2C%2024055%20Cologno%20al%20Serio%20%28BG%29
Agenzia Bolognini - Studio di Consulenza Automobilistica (A.G.B. di Bolognini Stefano e Bolognini Morena),info@agbolognini.it,335 6498143,"Via Ettore Troilo 2, 20136 Milano (MI)",20136,Milano,MI,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Bolognini%20-%20Studio%20di%20Consulenza%20Automobilistica%20%28A.G.B.%20di%20Bolognini%20Stefano%20e%20Bolognini%20Morena%29%20Via%20Ettore%20Troilo%202%2C%2020136%20Milano%20%28MI%29
Agenzia Corsico Pratiche Automobilistiche e Amministrative di Ciavarella Antonio,info@agenziacorsico.it,02 4478712,"Via Fiume 6, 20094 Corsico (MI)",20094,Corsico,MI,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Corsico%20Pratiche%20Automobilistiche%20e%20Amministrative%20di%20Ciavarella%20Antonio%20Via%20Fiume%206%2C%2020094%20Corsico%20%28MI%29
Agenzia Ermes Servizi S.r.l. - Sede 2 (Viale Sicilia),studio@agenziaermes.it,039 2029896,"Viale Sicilia 64, 20900 Monza (MB)",20900,Monza,MB,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Ermes%20Servizi%20S.r.l.%20-%20Sede%202%20%28Viale%20Sicilia%29%20Viale%20Sicilia%2064%2C%2020900%20Monza%20%28MB%29
Agenzia Galli Nicoletta S.R.L.,info@agenziagalli.eu,0331,"Via Zucchi 23, 21049 Tradate (VA)",21049,Tradate,VA,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Galli%20Nicoletta%20S.R.L.%20Via%20Zucchi%2023%2C%2021049%20Tradate%20%28VA%29
Agenzia Grigo S.n.c. di Molteni & C.,agenziagrigo@gmail.com,031 573050,"Viale Giuseppe Sinigaglia 1, 22100 Como (CO)",22100,Como,CO,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Grigo%20S.n.c.%20di%20Molteni%20%26%20C.%20Viale%20Giuseppe%20Sinigaglia%201%2C%2022100%20Como%20%28CO%29
Agenzia L'Automobile s.n.c. di Irene e Alessandro Belotti,info@agenzialautomobile.it,035.257420,"Via Broseta 84/c, 24128 Bergamo (BG)",24128,Bergamo,BG,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20L%27Automobile%20s.n.c.%20di%20Irene%20e%20Alessandro%20Belotti%20Via%20Broseta%2084%2Fc%2C%2024128%20Bergamo%20%28BG%29
Agenzia M.C.M. di Muttoni Christian,agenziamcm@gmail.com,031 2492660,"Via Michelangelo Buonarroti 31, 22077 Olgiate Comasco (CO)",22077,Olgiate Comasco,CO,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20M.C.M.%20di%20Muttoni%20Christian%20Via%20Michelangelo%20Buonarroti%2031%2C%2022077%20Olgiate%20Comasco%20%28CO%29
Agenzia Mauro,info@agenziamauro.it,02 36597352,"Viale Spagna 33, 20093 Cologno Monzese (MI)",20093,Cologno Monzese,MI,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Mauro%20Viale%20Spagna%2033%2C%2020093%20Cologno%20Monzese%20%28MI%29
Agenzia Mille Motori S.n.c. di Fraternali Grilli Giovanni e Torcoletti Alberto,info@millemotori.com,0721 31791,"Via Decio Raggi, 17/19, 61100 Pesaro (PU)",61100,Pesaro,PU,,,https://goo.gl/maps/UottHruNS9G2
Agenzia Molina - Delegazione ACI Carlazzo,acicarlazzo.agenziamolina@gmail.com,+39 0344 714000,"Via V. Alpini 111, 22010 Carlazzo (CO)",22010,Carlazzo,CO,46.0411181,9.1485001,"https://www.google.com/maps/place/Agenzia+Molina/@46.0411181,9.1485001,17z/data=!4m6!3m5!1s0x47843ba45b1b15b1:0xed903daccce694d4!8m2!3d46.0411181!4d9.151075!16s%2Fg%2F11b6jh9b91"
"Agenzia Morettini - SubAgenzia di Assisi, Consulente Assicurativo/Autoscuola/Pratiche Automobilistiche",agenziamorettini@gmail.com,075,"Via Indipendenza 58/C, Petrignano D'Assisi (PG)",,,PG,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Morettini%20-%20SubAgenzia%20di%20Assisi%2C%20Consulente%20Assicurativo%2FAutoscuola%2FPratiche%20Automobilistiche%20Via%20Indipendenza%2058%2FC%2C%20Petrignano%20D%27Assisi%20%28PG%29
Agenzia Nordauto,info@studionordauto.it,02 70636463,"Via Giovanni Pacini, 20 - 20131 Milano (MI)",20131,Milano,MI,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Nordauto%20Via%20Giovanni%20Pacini%2C%2020%20-%2020131%20Milano%20%28MI%29
Agenzia Papazzoni Snc (Agenzia Pratiche Automobilistiche Papazzoni di Sgarbi Anna & C.),agenziapapazzoni@gmail.com,0522 826818,"Via Giovanni Zibordi 15 C/D, 42016 Guastalla (RE)",42016,Guastalla,RE,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Papazzoni%20Snc%20%28Agenzia%20Pratiche%20Automobilistiche%20Papazzoni%20di%20Sgarbi%20Anna%20%26%20C.%29%20Via%20Giovanni%20Zibordi%2015%20C%2FD%2C%2042016%20Guastalla%20%28RE%29
Agenzia Parma (ATLAS Srl) - Autoscuola La Folgore / studio di consulenza automobilistica,segreteria@agenziaparma.com,031 706659,"Piazza Volontà della Libertà 5, 22063 Cantù (CO)",22063,Cantù,CO,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Parma%20%28ATLAS%20Srl%29%20-%20Autoscuola%20La%20Folgore%20%2F%20studio%20di%20consulenza%20automobilistica%20Piazza%20Volont%C3%A0%20della%20Libert%C3%A0%205%2C%2022063%20Cant%C3%B9%20%28CO%29
Agenzia Pea - Pratiche Automobilistiche (Pea Roberto & C.),agenzia@pea.it,0363 50444,"Via Folcero, 22, 24043 Caravaggio (BG)",24043,Caravaggio,BG,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Pea%20-%20Pratiche%20Automobilistiche%20%28Pea%20Roberto%20%26%20C.%29%20Via%20Folcero%2C%2022%2C%2024043%20Caravaggio%20%28BG%29
Agenzia Pegaso SNC - Delegazione ACI San Giuliano Milanese (scheda GMB: 'Aci-delegazione di San Giuliano Milanese'),acisangiuliano@gmail.com,029 8490562,"Via Roma 27, 20098 San Giuliano Milanese (MI)",20098,San Giuliano Milanese,MI,45.3942855,9.2820327,"https://www.google.com/maps/place/Aci-delegazione+di+San+Giuliano+Milanese/@45.3942855,9.2820327,17z/data=!3m1!4b1!4m6!3m5!1s0x4786cfb8be13d6d7:0xbb8b261448165f24!8m2!3d45.3942855!4d9.2846076!16s%2Fg%2F1tvdhp3g"
Agenzia Pippo Pratiche Automobilistiche,collaudipippo@gmail.com,02 3926 8305,"Via Marcantonio Colonna, 41, 20149 Milano (MI)",20149,Milano,MI,45.4878601,9.1512546,"https://www.google.com/maps/place/Agenzia+Pippo+Pratiche+Automobilistiche/@45.4878601,9.1512546,17z/data=!4m6!3m5!1s0x4786c10f3aa0b197:0x736312c6db2fd417!8m2!3d45.4878601!4d9.1512546!16s%2Fg%2F1th099mh"
Agenzia Polimeni Aida S.A.S. di Leone Enrico Stefano & C.,enricoleone1@virgilio.it,0965 45010,"Via Italia, 90/C, 89122 Reggio di Calabria (RC)",89122,Reggio di Calabria,RC,38.1240375,15.6543544,"https://www.google.com/maps/place/Agenzia+Polimeni+Aida/@38.1240375,15.6543544,17z/data=!3m1!4b1!4m6!3m5!1s0x131450ede0226cb5:0xbaa7e72e7b90b6cc!8m2!3d38.1240375!4d15.6543544!16s%2Fg%2F11h58lwjjm"
Agenzia Schiraldi Srl - Pratiche Auto e Veicoli Industriali,gabriele.robotti@agenziaschiraldi.it,02 69311797,"Viale Marche 91, 20159 Milano (MI) - sede principale; filiale in Viale Umbria 17, Milano",20159,Milano,MI,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Schiraldi%20Srl%20-%20Pratiche%20Auto%20e%20Veicoli%20Industriali%20Viale%20Marche%2091%2C%2020159%20Milano%20%28MI%29%20-%20sede%20principale%3B%20filiale%20in%20Viale%20Umbria%2017%2C%20Milano
Agenzia Sebino di G. Volpi - Consulenza automobilistica e nautica,agenziasebino1@gmail.com,035 911211,"Via Luigi Suardo 10, 24067 Sarnico (BG)",24067,Sarnico,BG,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Sebino%20di%20G.%20Volpi%20-%20Consulenza%20automobilistica%20e%20nautica%20Via%20Luigi%20Suardo%2010%2C%2024067%20Sarnico%20%28BG%29
Agenzia Sprint Pratiche Auto di Galli Mauro e C. Sas,angelica.rizzi@sprintpraticheauto.it,02 9609040,"Via Garibaldi, 33 - 21047 Saronno (VA)",21047,Saronno,VA,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20Sprint%20Pratiche%20Auto%20di%20Galli%20Mauro%20e%20C.%20Sas%20Via%20Garibaldi%2C%2033%20-%2021047%20Saronno%20%28VA%29
"Agenzia U.P.M. (di Belletti & C. Snc) - Pratiche Auto, Moto Varese",info@agenziaupm.it,0332 280660,"Piazza Cesare Beccaria 2, 21100 Varese (VA)",21100,Varese,VA,,,https://www.google.com/maps/search/?api=1&query=Agenzia%20U.P.M.%20%28di%20Belletti%20%26%20C.%20Snc%29%20-%20Pratiche%20Auto%2C%20Moto%20Varese%20Piazza%20Cesare%20Beccaria%202%2C%2021100%20Varese%20%28VA%29
Aprauto 2.0 di Sorgato Beatrice e Bertolo Silvia Snc,info@aprauto2.it,+39 049 6366490,"Via Filippo Turati 3/A, 35010 Limena (PD)",35010,Limena,PD,,,https://www.google.com/maps/search/?api=1&query=Aprauto%202.0%20di%20Sorgato%20Beatrice%20e%20Bertolo%20Silvia%20Snc%20Via%20Filippo%20Turati%203%2FA%2C%2035010%20Limena%20%28PD%29
Autoconsult Srl,info@autoconsult2015.it,02 28096397,"Via Flavio Gioia 52, 20090 Trezzano sul Naviglio (MI)",20090,Trezzano sul Naviglio,MI,,,https://www.google.com/maps/search/?api=1&query=Autoconsult%20Srl%20Via%20Flavio%20Gioia%2052%2C%2020090%20Trezzano%20sul%20Naviglio%20%28MI%29
Automobile Club Lecco (AC Lecco),pratiche@acilecco.it,0341 357911,"Corso Matteotti 5/B (Parco del Broletto), 23900 Lecco (LC)",23900,Lecco,LC,,,https://www.google.com/maps/place/Automobile+Club+Lecco/data=!4m7!3m6!1s0x4786ae52241ab6d3:0x46dd3032a732dc0e!8m2!3d45.8579835!4d9.3934328!16s%2Fg%2F11b6hy4g6h!19sChIJ07YaJFKuhkcRDtwypzIw3UY
"Automobile Club Mantova - Delegazione Diretta ""Gobio"" (ACI)",gobio@mantova.aci.it,0376 366228,"Viale Evangelista Gobio, 25/27, 46100 Mantova (MN)",46100,Mantova,MN,,,https://www.google.com/maps/search/?api=1&query=Automobile%20Club%20Mantova%20-%20Delegazione%20Diretta%20%22Gobio%22%20%28ACI%29%20Viale%20Evangelista%20Gobio%2C%2025%2F27%2C%2046100%20Mantova%20%28MN%29
Automobile Club Milano - Delegazione Sarca (gestita da Alfa Snc),alfasnc.acisarca@gmail.com,02 6432142,"Viale Sarca 90, 20125 Milano (MI)",20125,Milano,MI,,,https://www.google.com/maps/search/?api=1&query=Automobile%20Club%20Milano%20-%20Delegazione%20Sarca%20%28gestita%20da%20Alfa%20Snc%29%20Viale%20Sarca%2090%2C%2020125%20Milano%20%28MI%29
Automobile Club Pavia - Delegazione di Vigevano (scheda GMB: 'ACI - Automobile Club Vigevano'),acivigevano@gmail.com,0381,"Viale Francesco II Sforza 25, 27029 Vigevano (PV)",27029,Vigevano,PV,45.3164044,8.8461109,"https://www.google.com/maps/place/ACI+-+Automobile+Club+Vigevano+-+BOLLI+SOLO+MATTINO+-+POMERIGGIO+SU+APPUNTAMENTO/@45.3164044,8.8461109,17z/data=!3m1!4b1!4m6!3m5!1s0x4786e30c44ca9367:0x1fd3d688424d37c9!8m2!3d45.3164044!4d8.8486858!16s%2Fg%2F11j2ybgh72"
Automobile Club Sondrio,pratiche@acisondrio.it,0342 212213,"Via Mazzini 39/A, 23100 Sondrio (SO)",23100,Sondrio,SO,46.1673699,9.8656295,"https://www.google.com/maps/place/Automobile+Club+Sondrio/@46.1673699,9.8656295,17z/data=!3m1!4b1!4m6!3m5!1s0x47838e0ab801a03d:0x9cbb408515c40f2e!8m2!3d46.1673699!4d9.8682044!16s%2Fg%2F11xgr7qdr"
Automobile Club Torino - Venaria Reale,acivenaria@gmail.com,011 4593412,"Viale Roma 4/A, 10078 Venaria Reale (TO)",10078,Venaria Reale,TO,45.1327372,7.6309076,"https://www.google.com/maps/place/Automobile+Club+Torino+-+Venaria+Reale/@45.1327372,7.6309076,17z/data=!3m1!4b1!4m6!3m5!1s0x47886eb13b817659:0x2919fc6d00816b16!8m2!3d45.1327372!4d7.6334825!16s%2Fg%2F11ddwwcxbs"
Autoscuola Centauro SRL - sede/delegazione di Merate,delegazione.merate@autoscoulacentauro.it,039 9900067,"Via Ceppo, 2, 23807 Merate (LC)",23807,Merate,LC,45.6989909,9.4063901,"https://www.google.com/maps/place/Aci+Delegazione+Merate/@45.6989909,9.4063901,17z/data=!4m6!3m5!1s0x4786afdd4d562233:0xd4344be22b461e9a!8m2!3d45.6989909!4d9.4063901!16s%2Fg%2F11pxwysk9r"
Autoscuola Pilotti Srl,ospitaletto@autopilotti.it,030,"Via Padana Superiore 5/C, 25035 Ospitaletto (BS)",25035,Ospitaletto,BS,,,https://www.google.com/maps/search/?api=1&query=Autoscuola%20Pilotti%20Srl%20Via%20Padana%20Superiore%205%2FC%2C%2025035%20Ospitaletto%20%28BS%29
BPM Agenzia Pratiche Auto (ragione sociale: Battaglia Group S.r.l.),info@agenziabpm.it,030 8086376,"Piazza Caduti 30, 25080 Padenghe sul Garda (BS)",25080,Padenghe sul Garda,BS,,,https://www.google.com/maps/search/?api=1&query=BPM%20Agenzia%20Pratiche%20Auto%20%28ragione%20sociale%3A%20Battaglia%20Group%20S.r.l.%29%20Piazza%20Caduti%2030%2C%2025080%20Padenghe%20sul%20Garda%20%28BS%29
Centopratiche - Agenzia Pratiche Auto e Moto (Senago),info@centopratiche.it,02 9982118,"Via A. De Gasperi 6, 20030 Senago (MI)",20030,Senago,MI,,,https://www.google.com/maps/search/?api=1&query=Centopratiche%20-%20Agenzia%20Pratiche%20Auto%20e%20Moto%20%28Senago%29%20Via%20A.%20De%20Gasperi%206%2C%2020030%20Senago%20%28MI%29
"Centro Pratiche Auto S.r.l. (Sermetra) - anche risultante come 'Centro Pratiche Auto S.n.c. di Capra Alberto, Granelli Silvana, Capra Elena, Mozzarelli Umberto e C.'",studio@centropratiche.com,0523 592580,"Via della Conciliazione, 43, 29122 Piacenza (PC)",29122,Piacenza,PC,45.0421483,9.7040387,"https://www.google.com/maps/place/Centro+Pratiche+Auto/@45.0421483,9.7040387,17z/data=!4m6!3m5!1s0x4780e7fb7803778b:0xdddea0f5ae94c85d!8m2!3d45.0421483!4d9.7040387!16s%2Fg%2F1vq9l3_f"
Cinquini - Liana di L. Cinquini & C. (Agenzia Pratiche Automobilistiche / Assicurazioni Cinquini),noemi.acicinquini@gmail.com,030 6864698,"Via Francesco Ziliani, 49, 25039 Travagliato (BS)",25039,Travagliato,BS,,,https://www.google.com/maps/search/?api=1&query=Cinquini%20-%20Liana%20di%20L.%20Cinquini%20%26%20C.%20%28Agenzia%20Pratiche%20Automobilistiche%20%2F%20Assicurazioni%20Cinquini%29%20Via%20Francesco%20Ziliani%2C%2049%2C%2025039%20Travagliato%20%28BS%29
Consorzio Nazionale Servizi Globali per la Circolazione dei Mezzi di Trasporto - Sermetra S. Cons. p.A.,federico.cavour@sermetra.it,+39 06 6922 6976,"Via Mosca, 52 - 00142 Roma (RM)",00142,Roma,RM,,,https://www.google.com/maps/search/?api=1&query=Consorzio%20Nazionale%20Servizi%20Globali%20per%20la%20Circolazione%20dei%20Mezzi%20di%20Trasporto%20-%20Sermetra%20S.%20Cons.%20p.A.%20Via%20Mosca%2C%2052%20-%2000142%20Roma%20%28RM%29
Delegazione ACI Desenzano,acidesenzano1@gmail.com,030 9141171,"Via Mezzocolle 6/E, Desenzano del Garda (BS)",,,BS,45.4678933,10.5302676,"https://www.google.com/maps/place/Automobile+Club/@45.4678933,10.5302676,17z/data=!3m1!4b1!4m6!3m5!1s0x478194471ad6b4dd:0xdda9631e7a512c6!8m2!3d45.4678933!4d10.5328425!16s%2Fg%2F11cn3pk4y0"
Delegazione ACI Saronno,rossana@acisaronno.it,029602467,"Via Diaz 5, Saronno (VA)",,,VA,45.6262915,9.0281675,"https://www.google.com/maps/place/ACI+Saronno/@45.6262915,9.0281675,17z/data=!3m1!4b1!4m6!3m5!1s0x4786915ec64be9ad:0x58eeec509b5edceb!8m2!3d45.6262915!4d9.0307424!16s%2Fg%2F11bzs3c5zq"
Delvecchio S.R.L. - Agenzia Pratiche Auto,agenziadelvecchio@gmail.com,02 38298444,"Via Riccardo Lombardi 19/6, 20153 Milano (MI)",20153,Milano,MI,,,https://www.google.com/maps/search/?api=1&query=Delvecchio%20S.R.L.%20-%20Agenzia%20Pratiche%20Auto%20Via%20Riccardo%20Lombardi%2019%2F6%2C%2020153%20Milano%20%28MI%29
Ellevi Auto di Vezzoli Luca,ellevi@outlook.it,02 9063 3890,"Via Milano, 53, 20067 Paullo (MI)",20067,Paullo,MI,45.4158722,9.3998113,"https://www.google.com/maps/place/Ellevi+Auto+Di+Vezzoli+Luca/@45.4158722,9.3998113,17z/data=!3m1!4b1!4m6!3m5!1s0x4786cc58c012e93f:0x7a8f02d2834f58cd!8m2!3d45.4158722!4d9.3998113!16s%2Fg%2F11btnqtgcx"
Gi-Di Pratiche Auto di Giubertoni Dario,dariogiubertoni@virgilio.it,0376 521673,"Via Cavour, 33, 46029 Suzzara (MN)",46029,Suzzara,MN,,,https://www.google.com/maps/search/Gi-Di+Pratiche+Auto+Via+Cavour+33+Suzzara
Gre-Car S.n.c. di Gregori Marco e Carrera Francesco,angela@gre-car.it,02 9092292,"Via Valverde, 2, 20056 Trezzo sull'Adda (MI)",20056,Trezzo sull'Adda,MI,45.6094472,9.5217255,"https://www.google.com/maps/place/Gre-Car+snc+%7C+ACI+%26+Sara+Assicurazioni/@45.6094472,9.5217255,17z/data=!3m1!4b1!4m6!3m5!1s0x47814ccfacc1fda5:0xdb202a39bf0d8ae4!8m2!3d45.6094472!4d9.5217255!16s%2Fg%2F1tg7qwcb"
L'Altra Vittoria S.r.l. di Laura Cristiano - Agenzia Pratiche Auto,pratiche@laltravittoria.com,030 6700306,"Via della Volta, 207, 25124 Brescia (BS)",25124,Brescia,BS,,,https://www.google.com/maps/search/?api=1&query=L%27Altra%20Vittoria%20S.r.l.%20di%20Laura%20Cristiano%20-%20Agenzia%20Pratiche%20Auto%20Via%20della%20Volta%2C%20207%2C%2025124%20Brescia%20%28BS%29
Libretti & Patenti (Agenzia Russo di Alfonso Russo),info@librettiepatenti.it,N,"Via B. Buozzi, 48, 20089 Rozzano (MI)",20089,Rozzano,MI,,,https://www.google.com/maps/search/?api=1&query=Libretti%20%26%20Patenti%20%28Agenzia%20Russo%20di%20Alfonso%20Russo%29%20Via%20B.%20Buozzi%2C%2048%2C%2020089%20Rozzano%20%28MI%29
M4 Pratiche Auto di Marchetti Valeria,m4praticheauto@libero.it,0373 234710,"Via Guglielmo Marconi, 39, 26010 Bagnolo Cremasco (CR)",26010,Bagnolo Cremasco,CR,,,https://www.google.com/maps/search/?api=1&query=M4%20Pratiche%20Auto%20di%20Marchetti%20Valeria%20Via%20Guglielmo%20Marconi%2C%2039%2C%2026010%20Bagnolo%20Cremasco%20%28CR%29
New American Wild Spirit S.r.l.,info@naws.it,0363 361066,"Via Mazzini, 6/8 (sede operativa) e P.zza G. Domenico Perrucchetti, 33 (sede legale), 20062 Cassano d'Adda (MI)",20062,Cassano d'Adda,MI,,,https://www.google.com/maps/search/?api=1&query=New%20American%20Wild%20Spirit%20S.r.l.%20Via%20Mazzini%2C%206%2F8%20%28sede%20operativa%29%20e%20P.zza%20G.%20Domenico%20Perrucchetti%2C%2033%20%28sede%20legale%29%2C%2020062%20Cassano%20d%27Adda%20%28MI%29
Officina Meccanica Eredi Canti Gregorio di Canti Davide e C. S.n.c.,officinacanti@libero.it,0364 74772,"Via Artigiani, 58, 25040 Corteno Golgi (BS)",25040,Corteno Golgi,BS,,,https://www.google.com/maps/search/?api=1&query=Officina%20Meccanica%20Eredi%20Canti%20Gregorio%20di%20Canti%20Davide%20e%20C.%20S.n.c.%20Via%20Artigiani%2C%2058%2C%2025040%20Corteno%20Golgi%20%28BS%29
OXSA - Agenzia Oxsa S.a.s. di Taboni Gianpaolo,praticheauto@oxsa.net,02 66201500,"Via Casarsa della Delizia, 13, 20161 Milano (MI)",20161,Milano,MI,,,https://www.google.com/maps/search/?api=1&query=OXSA%20-%20Agenzia%20Oxsa%20S.a.s.%20di%20Taboni%20Gianpaolo%20Via%20Casarsa%20della%20Delizia%2C%2013%2C%2020161%20Milano%20%28MI%29
Piave Group,documenti@piavegroup.it,0421 92194,"Via Aquileia, 2/S, 30016 Jesolo (VE)",30016,Jesolo,VE,,,https://www.google.com/maps/search/?api=1&query=Piave%20Group%20Via%20Aquileia%2C%202%2FS%2C%2030016%20Jesolo%20%28VE%29
Pigolotti Assicurazioni e Pratiche Auto,info@agenziapigolotti.it,030 675939,"Viale Libertà 39/A, 25081 Bedizzole (BS)",25081,Bedizzole,BS,,,https://www.google.com/maps/search/?api=1&query=Pigolotti%20Assicurazioni%20e%20Pratiche%20Auto%20Viale%20Libert%C3%A0%2039%2FA%2C%2025081%20Bedizzole%20%28BS%29
